entity_id,preferred_label_en,preferred_label_jp,entity_type,iso_alpha3,temporal_scope,use_when,source_terms_aliases,notes
AGO,Angola,アンゴラ,state,AGO,1975-present,Use for Angola independence or civil war/intervention records.,Angola; Angolan; アンゴラ,
COD,Democratic Republic of the Congo / Zaire,コンゴ民主共和国／ザイール,state/historical,COD,1960-present; Zaire 1971-1997,"Use for Congo-Léopoldville, Congo-Kinshasa, Democratic Republic of the Congo, and Zaire, depending on context.",Congo; Congo-Léopoldville; Congo-Kinshasa; Democratic Republic of the Congo; Zaire; コンゴー; コンゴ; ザイール,"For the Congo Crisis, identify whether the record refers to DRC/Congo-Léopoldville rather than Republic of Congo."
COG,Republic of the Congo,コンゴ共和国,state,COG,1960-present,Use only when the record clearly refers to Congo-Brazzaville/Republic of the Congo.,Republic of the Congo; Congo-Brazzaville; コンゴ共和国; ブラザビル・コンゴ,Separate from COD to avoid Congo ambiguity.
ALB,Albania,アルバニア,state,ALB,1945-present,"Use for Albania, especially Zhou Enlai's visits and PRC-Albania socialist bloc relations.",Albania; Albanian; アルバニア,
KOR,Republic of Korea / South Korea,韓国／大韓民国,state,KOR,1948-present,"Use for South Korea/ROK, including Japan-Korea economic cooperation records.",Republic of Korea; South Korea; ROK; Korea; 韓国; 大韓民国; 南朝鮮,Use only when South Korea is intended; do not use generic Korea for North/South ambiguity.
AFRICA,Africa,アフリカ,region,,,Use for records covering multiple African countries or Africa as a diplomatic region.,Africa; African countries; アフリカ; アフリカ諸国,"Region tag, not a state. Pair with specific countries when identifiable."
MIDEAST,Middle East,中東／中近東,region,,,Use for records covering the Middle East or Near/Middle East as a region.,Middle East; Near East; Middle Eastern countries; 中東; 中近東; 中近東諸国,"Region tag, not a state."
ASIA,Asia,アジア,region,,,Use for records covering Asia broadly.,Asia; Asian countries; アジア; アジア諸国,Region tag.
ASIA_PACIFIC,Asia-Pacific,アジア太平洋,region,,,Use for records on Asia-Pacific regional diplomatic meetings or missions.,Asia-Pacific; Asia and Pacific; アジア、太平洋; アジア太平洋,Region tag.
THIRD_WORLD,Third World / Global South,第三世界／グローバルサウス,historical/geopolitical grouping,,Cold War era,"Use for records framed around Asia-Africa, Afro-Asian solidarity, non-aligned/decolonizing states, or PRC Third World diplomacy.",Third World; Global South; developing countries; Afro-Asian countries; 第三世界; アジア・アフリカ諸国; 発展途上国,Analytical grouping. Use cautiously and alongside source-specific region tags.
IDN,Indonesia,インドネシア,state,IDN,1945-present,"Use for Indonesia, especially as host/organizer of Bandung and Afro-Asian diplomacy.",Indonesia; インドネシア,Added for Afro-Asian Conference and Bandung-related tagging.
PAK,Pakistan,パキスタン,state,PAK,1947-present,"Use for Pakistan, including Bogor/Bandung participant selection debates.",Pakistan; パキスタン,Added for Afro-Asian Conference/Bogor/Bandung tagging.
MAR,Morocco,モロッコ,state,MAR,1956-present,"Use for Morocco, including Cold War Middle East/Africa files and military service records.",Morocco; Moroccan; モロッコ,Independent from France in 1956; Spain also held some Moroccan territory.
ZAF,South Africa,南アフリカ共和国,state,ZAF,1910-present,"Use for South Africa, apartheid-era diplomacy, southern Africa, and regional military/political records.",South Africa; Republic of South Africa; 南アフリカ共和国,Use carefully for apartheid-era South Africa; pair with DECOL/LIBERATION when anti-apartheid or liberation politics are central.
AUS,Australia,オーストラリア,state,AUS,1901-present,Use for Australia in Asia-Pacific diplomatic or military records.,Australia; Australian; オーストラリア,
SGP,Singapore,シンガポール,state,SGP,1965-present,Use for Singapore; for pre-1965 records preserve original context in notes when needed.,Singapore; シンガポール,
THA,Thailand,タイ,state,THA,1945-present,"Use for Thailand in Asian diplomatic, military, and PRC/ROC-related records.",Thailand; Thai; タイ,
SYR,Syria,シリア,state,SYR,1946-present,Use for Syria in Middle East diplomatic or armaments records.,Syria; Syrian; シリア,
ISR,Israel,イスラエル,state,ISR,1948-present,"Use for Israel, including nuclear weapons/intelligence and Middle East diplomacy.",Israel; Israeli; イスラエル,
KEN,Kenya,ケニア,state,KEN,1963-present,"Use for Kenya, including decolonization, PRC/ROC relations, and East African diplomacy.",Kenya; Kenyan; ケニア,Independent from Great Britain in 1963.
CAF,Central African Republic,中央アフリカ共和国,state,CAF,1960-present,"Use for the Central African Republic, including recognition switching and PRC/ROC diplomacy.",Central African Republic; CAR; 中央アフリカ共和国,Independent from France in 1960.
BEN_DAH,Dahomey / Benin,ダオメ／ベナン,state/historical,BEN,1960-present; renamed Benin in 1975,"Use for Dahomey/Benin, especially Cold War recognition switching records.",Dahomey; Benin; Republic of Dahomey; ダオメ／ベナン,Use Dahomey for pre-1975 source terms; modern successor state is Benin.
OAU_ORG,Organization of African Unity,アフリカ統一機構,international organization,,1963-2002,Use for the OAU as an organization or African collective diplomacy.,OAU; Organisation of African Unity; Organization of African Unity; アフリカ統一機構,Succeeded by the African Union in 2002.
