"review_id","priority","archive_id","title_jp","current_event_ids","candidate_event_ids","issue_type","evidence","recommended_action","review_question","source_fields","review_status","reviewer_notes"
"CR-011","HIGH","2013-2432","中共・アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-012","HIGH","2013-2433","中共・中近東、アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-013","HIGH","2013-2434","中共・中近東、アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-014","HIGH","2013-2435","中共・中近東、アフリカ諸国関係","NAM_SUMMIT_3_1970","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-015","HIGH","2013-2436","中共・中近東、アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-016","HIGH","2013-2437","中共・中近東、アフリカ諸国関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-017","HIGH","2017-0035","中国・ソ連関係","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-018","MEDIUM","2013-2495","中共・インド国境紛争","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-019","MEDIUM","2013-3457","中共・インド国境紛争","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-020","MEDIUM","2009-0721","中国・諸外国間貿易協定","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-021","MEDIUM","2013-3130","中共貿易/統計，資料（含、対日関係）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-022","MEDIUM","2013-3131","中共対外経済援助","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-023","HIGH","2014-4131","国連代表権問題/中共","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-024","HIGH","2014-4133","国連代表権問題/中共","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-025","HIGH","2014-2744","国連中国代表権問題/中共（各国の態度）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-026","HIGH","2015-2086","国連中国代表権問題/中共（各国の態度）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-027","HIGH","2015-2085","国連代表権問題/中共（アジア、中近東、アフリカ諸国の態度）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-028","MEDIUM","2012-3234","フランス・中共外交関係樹立","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
"CR-029","HIGH","2017-0657","日ソ関係（第8回ソ連に関する日米非公式協議）","","CULTURAL_REVOLUTION_1966_1976","DATE_AND_CONTEXT_CONFIRMATION","China/PRC-related record; current v07 metadata lacks start/end dates and explicit Cultural Revolution wording.","Check MOFA DA start/end dates, TOC, and document content. Assign CULTURAL_REVOLUTION_1966_1976 only if 1966-1967 material is contextually about the Cultural Revolution or its diplomatic effects.","Does the record cover 1966-1967 PRC politics/diplomacy in the context of 文化大革命/文革?","title_jp;keyword_primary;keyword_secondary;original_terms;tagging_notes;event_notes","OPEN",""
